Date,Open,High,Low,Close,Adj Close,Volume
2017-04-06,25.260000,25.260000,24.740000,25.000000,23.120317,2300
2017-04-07,25.070000,25.136999,24.940001,24.950001,23.074072,5000
2017-04-10,25.100000,25.100000,24.969999,24.971001,23.093491,5500
2017-04-11,25.311001,25.311001,25.230000,25.260000,23.360765,5500
2017-04-12,25.280001,25.350000,25.280001,25.350000,23.443998,3300
2017-04-13,25.319000,25.492001,25.319000,25.492001,23.575323,700
2017-04-17,25.540001,25.540001,25.379000,25.379000,23.470819,7200
2017-04-18,25.360001,25.459999,25.360001,25.370001,23.462498,3700
2017-04-19,25.570000,25.570000,25.264999,25.420000,23.508732,7900
2017-04-20,25.340000,25.340000,25.174000,25.194000,23.299728,4300
2017-04-21,25.280001,25.410000,25.261000,25.370001,23.462498,6600
2017-04-24,24.950001,25.020000,24.950001,24.969999,23.092566,5600
2017-04-25,24.750000,24.780001,24.719999,24.724001,22.865063,6400
2017-04-26,24.750000,24.760000,24.719999,24.760000,22.898359,1500
2017-04-27,24.799999,24.860001,24.750000,24.750000,22.889109,9500
2017-04-28,24.830000,24.830000,24.830000,24.830000,22.963097,400
2017-05-01,24.719999,24.799999,24.719999,24.790001,22.926102,6500
2017-05-02,24.770000,24.770000,24.690001,24.760000,22.898359,1000
2017-05-03,24.809999,24.809999,24.760000,24.760000,22.898359,4700
2017-05-04,24.690001,24.730000,24.670000,24.730000,22.870613,3400
2017-05-05,24.650000,24.680000,24.625999,24.639999,22.787380,5000
2017-05-08,24.615000,24.620001,24.559999,24.559999,22.713394,1800
2017-05-09,24.410000,24.549999,24.410000,24.549999,22.704149,4900
2017-05-10,24.610001,24.610001,24.520000,24.520000,22.676401,1500
2017-05-11,24.540001,24.639999,24.500000,24.570000,22.722641,14900
2017-05-12,24.670000,24.760000,24.670000,24.740000,22.879858,3500
2017-05-15,24.690001,24.690001,24.559999,24.650000,22.796629,800
2017-05-16,24.580999,24.680000,24.580999,24.660000,22.805880,24100
2017-05-17,24.969999,25.270000,24.969999,25.260000,23.360765,67400
2017-05-18,25.469999,25.469999,25.180000,25.180000,23.286779,3000
2017-05-19,25.059999,25.059999,25.010000,25.020000,23.138811,2000
2017-05-22,25.020000,25.020000,24.823000,24.870001,23.000090,14000
2017-05-23,24.910000,24.910000,24.809999,24.809999,22.944599,3300
2017-05-24,24.790001,24.820000,24.760000,24.820000,22.953846,4300
2017-05-25,24.719000,24.740000,24.700001,24.730000,22.870613,1600
2017-05-26,24.760000,24.760000,24.723000,24.760000,22.898359,1500
2017-05-30,24.820000,24.830000,24.799999,24.799999,22.935352,4400
2017-05-31,24.879999,24.879999,24.879000,24.879000,23.008411,8500
2017-06-01,24.780001,24.809999,24.700001,24.730000,22.870613,15000
2017-06-02,24.830000,24.830000,24.754999,24.799999,22.935352,1200
2017-06-05,24.770000,24.780001,24.740000,24.750000,22.889109,1900
2017-06-06,24.850000,24.900000,24.799999,24.900000,23.027832,1400
2017-06-07,24.850000,24.879999,24.799999,24.799999,22.935352,15500
2017-06-08,24.750000,24.750000,24.730000,24.740000,22.879858,1600
2017-06-09,24.809999,24.809999,24.549999,24.780001,22.916861,4900
2017-06-12,24.780001,24.790001,24.747999,24.750000,22.889109,1600
2017-06-13,24.650000,24.690001,24.650000,24.690001,22.833622,400
2017-06-14,24.809999,24.830000,24.780001,24.830000,22.963097,1700
2017-06-15,24.870001,24.870001,24.809999,24.820000,22.953846,1700
2017-06-16,24.790001,24.830000,24.709999,24.795000,22.930723,8600
2017-06-19,24.620001,24.629999,24.590000,24.620001,22.768888,2400
2017-06-20,24.620001,24.680000,24.598000,24.656000,22.802177,3500
2017-06-21,24.680000,24.730000,24.680000,24.730000,22.870613,1300
2017-06-22,24.750000,24.750000,24.697001,24.750000,22.889109,1200
2017-06-23,24.698000,24.709999,24.680000,24.709999,22.852118,3700
2017-06-26,24.670000,24.690001,24.639999,24.690001,22.833622,2900
2017-06-27,24.518999,24.580000,24.518999,24.580000,22.780794,1400
2017-06-28,24.490000,24.490000,24.450001,24.452999,22.663088,3700
2017-06-29,24.320000,24.620001,24.290001,24.530001,22.734451,9900
2017-06-30,24.430000,24.440001,24.299999,24.379999,22.595434,25100
2017-07-03,24.270000,24.270000,24.139999,24.139999,22.373003,1100
2017-07-05,24.160000,24.340000,24.150000,24.250000,22.474945,5700
2017-07-06,24.270000,24.270000,24.270000,24.270000,22.493486,200
2017-07-07,24.250000,24.260000,24.170000,24.200001,22.428612,4000
2017-07-10,24.260000,24.260000,24.049999,24.139999,22.373003,83800
2017-07-11,24.139999,24.250000,24.120001,24.180000,22.410078,4000
2017-07-12,24.059999,24.158001,24.059999,24.117001,22.351681,3000
2017-07-13,24.080000,24.080000,23.950001,23.959999,22.206173,5400
2017-07-14,23.959999,23.959999,23.959999,23.959999,22.206173,0
2017-07-17,23.930000,23.983999,23.900000,23.983999,22.228416,1200
2017-07-18,24.080000,24.139999,24.080000,24.139999,22.373003,1600
2017-07-19,24.042000,24.070000,23.959999,23.983000,22.227489,23800
2017-07-20,24.000000,24.000000,24.000000,24.000000,22.243246,3000
2017-07-21,24.110001,24.120001,23.940001,23.980000,22.224712,38200
2017-07-24,24.014000,24.014000,24.014000,24.014000,22.256222,600
2017-07-25,23.860001,23.860001,23.820000,23.820000,22.076420,1400
2017-07-26,23.799999,23.799999,23.715000,23.750999,22.012472,1200
2017-07-27,23.799999,23.809999,23.799999,23.809999,22.067158,300
2017-07-28,23.858000,23.920000,23.850000,23.850000,22.104233,4200
2017-07-31,23.858000,23.858000,23.858000,23.858000,22.111641,500
2017-08-01,23.889999,23.950001,23.879999,23.950001,22.196907,6100
2017-08-02,23.980000,23.980000,23.900000,23.900000,22.150568,2100
2017-08-03,23.980000,24.040001,23.940001,24.040001,22.280321,12100
2017-08-04,23.980000,23.980000,23.959999,23.959999,22.206173,1600
2017-08-07,23.879999,23.980000,23.879999,23.969999,22.215446,2700
2017-08-08,23.969999,23.980000,23.867001,23.969999,22.215446,7400
2017-08-09,24.170000,24.180000,24.080000,24.110001,22.345198,21100
2017-08-10,24.200001,24.480000,24.200001,24.469999,22.678844,92500
2017-08-11,24.530001,24.530001,24.357000,24.500000,22.706654,13100
